r_circ mass j/j_circ snap omega_e omega_e1 omega_l alpha mu mean_morph mean_morphf mask_morph
rc25 M2.5e+06 L0.05 SNAP030 0.2100069224834442 0.04491385817527771 0.2405267208814621 0.04491385817527771 5.355289459228516 0.07086466252803802 0.15632487833499908 0.10995166003704071
rc25 M2.5e+06 L0.05 SNAP040 0.2800092399120331 0.04491385817527771 0.32070231437683105 0.04491385817527771 7.14038610458374 0.17174912989139557 0.19191259145736694 0.22284242510795593
rc25 M2.5e+06 L0.05 SNAP050 0.35001155734062195 0.04491385817527771 0.40087786316871643 0.04491385817527771 8.925482749938965 0.20815084874629974 0.2968900799751282 0.27635839581489563
rc25 M2.5e+06 L0.05 SNAP060 0.4200138449668884 0.04491385817527771 0.4810534417629242 0.04491385817527771 10.710578918457031 0.21780870854854584 0.3185490071773529 0.23940332233905792
rc25 M2.5e+06 L0.05 SNAP070 0.4900161623954773 0.04491385817527771 0.5612290501594543 0.04491385817527771 12.495676040649414 0.29111242294311523 0.36289775371551514 0.32616952061653137
rc25 M2.5e+06 L0.05 SNAP080 0.5600184798240662 0.04491385817527771 0.6414045691490173 0.04491385817527771 14.28077220916748 0.2897581458091736 0.32267069816589355 0.31653398275375366
rc25 M2.5e+06 L0.10 SNAP030 0.2666069269180298 0.09019559621810913 0.24562257528305054 0.09019559621810913 2.72322154045105 0.07789706438779831 0.21663880348205566 0.13589359819889069
rc25 M2.5e+06 L0.10 SNAP040 0.35547590255737305 0.09019559621810913 0.3274967670440674 0.09019559621810913 3.6309618949890137 0.1923331618309021 0.20357948541641235 0.13474364578723907
rc25 M2.5e+06 L0.10 SNAP050 0.4443448781967163 0.09019559621810913 0.40937095880508423 0.09019559621810913 4.538702487945557 0.18289518356323242 0.25527656078338623 0.25075170397758484
rc25 M2.5e+06 L0.10 SNAP060 0.5332138538360596 0.09019559621810913 0.4912451505661011 0.09019559621810913 5.4464430809021 0.22153240442276 0.3235047459602356 0.20766636729240417
rc25 M2.5e+06 L0.10 SNAP070 0.6220828294754028 0.09019559621810913 0.5731193423271179 0.09019559621810913 6.354183673858643 0.28136491775512695 0.3929189145565033 0.3171594440937042
rc25 M2.5e+06 L0.10 SNAP080 0.7109518051147461 0.09019559621810913 0.6549935340881348 0.09019559621810913 7.261923789978027 0.3126955032348633 0.3404729664325714 0.3261665999889374
rc25 M2.5e+06 L0.20 SNAP030 0.33564144372940063 0.18310970067977905 0.23620593547821045 0.18310970067977905 1.289969563484192 0.08198819309473038 0.22915782034397125 0.1839054971933365
rc25 M2.5e+06 L0.20 SNAP040 0.4475219249725342 0.18310970067977905 0.31494125723838806 0.18310970067977905 1.7199593782424927 0.2450052946805954 0.2357127070426941 0.22062301635742188
rc25 M2.5e+06 L0.20 SNAP050 0.5594024062156677 0.18310970067977905 0.3936765491962433 0.18310970067977905 2.149949312210083 0.2198488414287567 0.2825542986392975 0.3117749094963074
rc25 M2.5e+06 L0.20 SNAP060 0.6712828874588013 0.18310970067977905 0.4724118709564209 0.18310970067977905 2.579939126968384 0.2210700958967209 0.31313127279281616 0.27083805203437805
rc25 M2.5e+06 L0.20 SNAP070 0.7831633687019348 0.18310970067977905 0.5511471629142761 0.18310970067977905 3.0099289417266846 0.2855378985404968 0.37458980083465576 0.35729825496673584
rc25 M2.5e+06 L0.20 SNAP080 0.8950438499450684 0.18310970067977905 0.6298825144767761 0.18310970067977905 3.4399187564849854 0.3049503564834595 0.41637691855430603 0.38041675090789795
rc25 M2.5e+06 L0.30 SNAP030 0.3792611360549927 0.2812434732913971 0.2238328605890274 0.2812434732913971 0.7958686947822571 0.0817163735628128 0.2275671362876892 0.22101044654846191
rc25 M2.5e+06 L0.30 SNAP040 0.5056815147399902 0.2812434732913971 0.29844382405281067 0.2812434732913971 1.061158299446106 0.17558716237545013 0.21722732484340668 0.24206654727458954
rc25 M2.5e+06 L0.30 SNAP050 0.6321018934249878 0.2812434732913971 0.37305477261543274 0.2812434732913971 1.32644784450531 0.18727301061153412 0.2757863700389862 0.30849578976631165
rc25 M2.5e+06 L0.30 SNAP060 0.7585222721099854 0.2812434732913971 0.4476657211780548 0.2812434732913971 1.5917373895645142 0.24079154431819916 0.2770184576511383 0.3274891972541809
rc25 M2.5e+06 L0.30 SNAP070 0.8849426507949829 0.2812434732913971 0.5222766995429993 0.2812434732913971 1.8570269346237183 0.2749950587749481 0.29921045899391174 0.34558752179145813
rc25 M2.5e+06 L0.30 SNAP080 1.0113630294799805 0.2812434732913971 0.5968876481056213 0.2812434732913971 2.122316598892212 0.30741751194000244 0.40125495195388794 0.3647381365299225
rc25 M2.5e+06 L0.40 SNAP030 0.4091055393218994 0.38745445013046265 0.21121813356876373 0.38745445013046265 0.5451431274414062 0.06279297918081284 0.21103069186210632 0.15394337475299835
rc25 M2.5e+06 L0.40 SNAP040 0.5454740524291992 0.38745445013046265 0.2816241681575775 0.38745445013046265 0.7268575429916382 0.1677674651145935 0.28810468316078186 0.21554526686668396
rc25 M2.5e+06 L0.40 SNAP050 0.681842565536499 0.38745445013046265 0.3520302176475525 0.38745445013046265 0.9085718989372253 0.18147127330303192 0.28292644023895264 0.31010815501213074
rc25 M2.5e+06 L0.40 SNAP060 0.8182110786437988 0.38745445013046265 0.42243626713752747 0.38745445013046265 1.0902862548828125 0.2132405787706375 0.2968619763851166 0.3325713872909546
rc25 M2.5e+06 L0.40 SNAP070 0.9545795917510986 0.38745445013046265 0.49284231662750244 0.38745445013046265 1.2720006704330444 0.2963353395462036 0.32169434428215027 0.35614851117134094
rc25 M2.5e+06 L0.40 SNAP080 1.0909481048583984 0.38745445013046265 0.563248336315155 0.38745445013046265 1.4537150859832764 0.2807622253894806 0.38213247060775757 0.36578917503356934
rc25 M2.5e+06 L0.50 SNAP030 0.43007582426071167 0.43007582426071167 0.19891667366027832 0.5054652094841003 0.46251538395881653 0.04704337939620018 0.1932927817106247 0.09291117638349533
rc25 M2.5e+06 L0.50 SNAP040 0.5734344124794006 0.5054652094841003 0.2652222514152527 0.5054652094841003 0.5247092247009277 0.12381844222545624 0.2591674327850342 0.19658085703849792
rc25 M2.5e+06 L0.50 SNAP050 0.7167930603027344 0.5054652094841003 0.33152779936790466 0.5054652094841003 0.6558864712715149 0.1486176997423172 0.23572665452957153 0.27575838565826416
rc25 M2.5e+06 L0.50 SNAP060 0.8601516485214233 0.5054652094841003 0.39783337712287903 0.5054652094841003 0.7870637774467468 0.17096564173698425 0.2743002474308014 0.27454355359077454
rc25 M2.5e+06 L0.50 SNAP070 1.0035102367401123 0.5054652094841003 0.464138925075531 0.5054652094841003 0.9182410836219788 0.21222840249538422 0.24805192649364471 0.19173449277877808
rc25 M2.5e+06 L0.50 SNAP080 1.1468688249588013 0.5054652094841003 0.5304445028305054 0.5054652094841003 1.0494184494018555 0.24644307792186737 0.3492812514305115 0.3172995150089264
rc25 M2.5e+06 L0.60 SNAP030 0.4433528184890747 0.4433528184890747 0.1875450611114502 0.640670895576477 0.42301538586616516 0.038427144289016724 0.19349156320095062 0.06758517026901245
rc25 M2.5e+06 L0.60 SNAP040 0.5911371111869812 0.5911371111869812 0.2500600814819336 0.640670895576477 0.42301538586616516 0.10069648921489716 0.2551494836807251 0.19222791492938995
rc25 M2.5e+06 L0.60 SNAP050 0.7389213442802429 0.640670895576477 0.312575101852417 0.640670895576477 0.4878871440887451 0.14537431299686432 0.25354766845703125 0.24052682518959045
rc25 M2.5e+06 L0.60 SNAP060 0.8867056369781494 0.640670895576477 0.3750901222229004 0.640670895576477 0.585464596748352 0.1334245651960373 0.23930861055850983 0.21043026447296143
rc25 M2.5e+06 L0.60 SNAP070 1.0344898700714111 0.640670895576477 0.4376051425933838 0.640670895576477 0.6830419898033142 0.13824763894081116 0.1857239156961441 0.12259646505117416
rc25 M2.5e+06 L0.60 SNAP080 1.1822741031646729 0.640670895576477 0.5001201629638672 0.640670895576477 0.7806194424629211 0.2142271101474762 0.3125137984752655 0.27513545751571655
rc25 M2.5e+06 L0.70 SNAP030 0.4511359632015228 0.4511359632015228 0.17662794888019562 0.8018173575401306 0.391518235206604 0.040715187788009644 0.20358549058437347 0.06381848454475403
rc25 M2.5e+06 L0.70 SNAP040 0.6015146374702454 0.6015146374702454 0.2355039417743683 0.8018173575401306 0.391518235206604 0.07647058367729187 0.2341618835926056 0.13690632581710815
rc25 M2.5e+06 L0.70 SNAP050 0.7518932819366455 0.7518932819366455 0.29437991976737976 0.8018173575401306 0.391518235206604 0.12830474972724915 0.2638753354549408 0.20410001277923584
rc25 M2.5e+06 L0.70 SNAP060 0.9022719264030457 0.8018173575401306 0.3532559275627136 0.8018173575401306 0.44056907296180725 0.10812549293041229 0.221910759806633 0.15833742916584015
rc25 M2.5e+06 L0.70 SNAP070 1.0526505708694458 0.8018173575401306 0.4121319055557251 0.8018173575401306 0.5139972567558289 0.1117112785577774 0.1994878053665161 0.10930169373750687
rc25 M2.5e+06 L0.70 SNAP080 1.2030292749404907 0.8018173575401306 0.4710078835487366 0.8018173575401306 0.5874254107475281 0.18555067479610443 0.2553637623786926 0.24248695373535156
